"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"WealthSimple Cash","","22/06/2025","Microsoft Ordinateur P Mississauga","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",17.24$,0.00$,"Cleared"
"WealthSimple Cash","","21/06/2025","Transfer : Principal","","","","",400.00$,0.00$,"Cleared"
"WealthSimple Cash","","21/06/2025","Emby","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",7.15$,0.00$,"Cleared"
"Principal","","21/06/2025","Transfer : WealthSimple Cash","","","","",0.00$,400.00$,"Uncleared"
"WealthSimple Cash","","20/06/2025","Maxi Port Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",26.03$,0.00$,"Cleared"
"WealthSimple Cash","","20/06/2025","Dollarama","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",22.87$,0.00$,"Cleared"
"WealthSimple Cash","","19/06/2025","Boni-Soir","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",61.38$,0.00$,"Cleared"
"WealthSimple Cash","","19/06/2025","Affirm","Dépense Obligatoire: Tire","Dépense Obligatoire","Tire","",42.88$,0.00$,"Cleared"
"WealthSimple Cash","","19/06/2025","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,1011.88$,"Cleared"
"WealthSimple Cash","","17/06/2025","Shell","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",148.62$,0.00$,"Cleared"
"WealthSimple Cash","","17/06/2025","Shell","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",14.32$,0.00$,"Cleared"
"Principal","","16/06/2025","Insurance /INTACT COMPAGNIE D ASSURANCE","Dépense Obligatoire: 🚗 Assurance Auto","Dépense Obligatoire","🚗 Assurance Auto","",55.35$,0.00$,"Cleared"
"WealthSimple Cash","","16/06/2025","Udemy","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",25.28$,0.00$,"Cleared"
"WealthSimple Cash","","15/06/2025","Super C","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",33.48$,0.00$,"Cleared"
"WealthSimple Cash","","15/06/2025","Adobe","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",22.98$,0.00$,"Cleared"
"WealthSimple Cash","","15/06/2025","Jagex","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",4.49$,0.00$,"Cleared"
"WealthSimple Cash","","14/06/2025","Transfer : Classique Visa Desjardins","","","","",400.00$,0.00$,"Cleared"
"Classique Visa Desjardins","","14/06/2025","Transfer : WealthSimple Cash","","","","",0.00$,400.00$,"Uncleared"
"WealthSimple Cash","","12/06/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",19.95$,0.00$,"Cleared"
"WealthSimple Cash","","12/06/2025","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,871.88$,"Cleared"
"WealthSimple Cash","","11/06/2025","Patreon","Abonnement: Patreon","Abonnement","Patreon","",17.82$,0.00$,"Cleared"
"WealthSimple Cash","","10/06/2025","YouTube Premium","Abonnement: Youtube Premium","Abonnement","Youtube Premium","",14.94$,0.00$,"Cleared"
"WealthSimple Cash","","09/06/2025","Shell","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",129.82$,0.00$,"Cleared"
"WealthSimple Cash","","09/06/2025","Irving Port-Cartier","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","",97.82$,0.00$,"Cleared"
"WealthSimple Cash","","08/06/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",19.95$,0.00$,"Cleared"
"🚨 Fonds d'urgence","","07/06/2025","Chomage","Dépense Obligatoire: 🍁 Chomage","Dépense Obligatoire","🍁 Chomage","",500.00$,0.00$,"Cleared"
"WealthSimple Cash","","07/06/2025","Affirm","Dépense Obligatoire: Tire","Dépense Obligatoire","Tire","",61.39$,0.00$,"Cleared"
"WealthSimple Cash","","07/06/2025","Amazon Prime Membership","Abonnement: Amazon Prime","Abonnement","Amazon Prime","",11.49$,0.00$,"Cleared"
"WealthSimple Cash","","06/06/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",38.44$,0.00$,"Cleared"
"WealthSimple Cash","","05/06/2025","Affirm","Dépense Obligatoire: Ordi PL","Dépense Obligatoire","Ordi PL","",125.76$,0.00$,"Cleared"
"WealthSimple Cash","","05/06/2025","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,787.97$,"Cleared"
"WealthSimple Cash","","03/06/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",154.97$,0.00$,"Cleared"
"WealthSimple Cash","","03/06/2025","McDonald's","Dépense Non Obligatoire: 👩‍🍳 Restaurant","Dépense Non Obligatoire","👩‍🍳 Restaurant","",41.53$,0.00$,"Cleared"
"WealthSimple Cash","","03/06/2025","Mic","Abonnement: IPTV","Abonnement","IPTV","",35.00$,0.00$,"Cleared"
"WealthSimple Cash","","03/06/2025","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,42.00$,"Cleared"
"WealthSimple Cash","","02/06/2025","Affirm","Dépense Obligatoire: Affirm kath","Dépense Obligatoire","Affirm kath","",38.80$,0.00$,"Cleared"
"WealthSimple Cash","","02/06/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",33.71$,0.00$,"Cleared"
"🚨 Fonds d'urgence","","02/06/2025","WealthSimple interet","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,26.00$,"Cleared"
"Principal","","02/06/2025","Member Dividend","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,59.48$,"Cleared"
"WealthSimple Cash","","01/06/2025","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2.08$,"Cleared"
"🚨 Fonds d'urgence","","01/06/2025","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2.87$,"Cleared"
"WealthSimple Cash","","01/06/2025","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,53.00$,"Cleared"
"WealthSimple Cash","","31/05/2025","Paiement Loyer Papa","Dépense Obligatoire: 🏠 Loyer","Dépense Obligatoire","🏠 Loyer","",600.00$,0.00$,"Cleared"
"WealthSimple Cash","","31/05/2025","Beneva","Dépense Obligatoire: 🏚️ Assurance Maison","Dépense Obligatoire","🏚️ Assurance Maison","",246.05$,0.00$,"Cleared"
"WealthSimple Cash","","31/05/2025","Boni-Soir","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",72.66$,0.00$,"Cleared"
"WealthSimple Cash","","31/05/2025","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,47.01$,"Cleared"
"WealthSimple Cash","","30/05/2025","Bell","Dépense Obligatoire: 📱 Cellulaire","Dépense Obligatoire","📱 Cellulaire","",104.35$,0.00$,"Cleared"
"WealthSimple Cash","","30/05/2025","Microsoft Store","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",26.20$,0.00$,"Cleared"
"Principal","","30/05/2025","Fixed service charges","Dépense Obligatoire: 🏦 Frais Desjardins","Dépense Obligatoire","🏦 Frais Desjardins","",15.95$,0.00$,"Cleared"
"WealthSimple Cash","","29/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",154.97$,0.00$,"Cleared"
"WealthSimple Cash","","29/05/2025","Neostep","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",32.66$,0.00$,"Cleared"
"WealthSimple Crypto","","29/05/2025","Crypto Sell","","","","",0.00$,6.84$,"Cleared"
"WealthSimple Cash","","29/05/2025","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,871.88$,"Cleared"
"Principal","","28/05/2025","Payment /DELL FINANCIAL SERVICES","Dépense Obligatoire: 🖥️ Dell","Dépense Obligatoire","🖥️ Dell","",15.00$,0.00$,"Cleared"
"WealthSimple Crypto","","28/05/2025","Transfer : WealthSimple Cash","","","","",6.84$,0.00$,"Cleared"
"WealthSimple Cash","","28/05/2025","Transfer : WealthSimple Crypto","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,6.84$,"Cleared"
"WealthSimple Cash","","27/05/2025","Microsoft Store","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",26.20$,0.00$,"Cleared"
"WealthSimple Cash","","26/05/2025","YNAB","Abonnement: YNAB","Abonnement","YNAB","",20.84$,0.00$,"Reconciled"
"WealthSimple Cash","","25/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",19.95$,0.00$,"Reconciled"
"WealthSimple Cash","","24/05/2025","Maxi Port Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",84.40$,0.00$,"Reconciled"
"WealthSimple Cash","","24/05/2025","Flippinguti Fl","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",7.22$,0.00$,"Reconciled"
"WealthSimple Cash","","24/05/2025","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,645.20$,"Reconciled"
"Principal","","23/05/2025","Transfer : Classique Visa Desjardins","","","","",392.12$,0.00$,"Reconciled"
"WealthSimple Cash","","23/05/2025","Transfer : Principal","","","","",392.12$,0.00$,"Reconciled"
"WealthSimple Cash","","23/05/2025","IGA Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",286.66$,0.00$,"Reconciled"
"WealthSimple Cash","","23/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",214.97$,0.00$,"Reconciled"
"Principal","","23/05/2025","Desjardins Financial Security","Dépense Obligatoire: 🏦 Frais Assurance Desjardins","Dépense Obligatoire","🏦 Frais Assurance Desjardins","",15.75$,0.00$,"Reconciled"
"Principal","","23/05/2025","Transfer : WealthSimple Cash","","","","",0.00$,392.12$,"Reconciled"
"Classique Visa Desjardins","","23/05/2025","Transfer : Principal","","","","",0.00$,392.12$,"Cleared"
"WealthSimple Cash","","22/05/2025","Microsoft Store","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",17.24$,0.00$,"Reconciled"
"WealthSimple Cash","","22/05/2025","Microsoft Store","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",11.83$,0.00$,"Reconciled"
"Principal","","22/05/2025","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,55.35$,"Reconciled"
"WealthSimple Cash","","22/05/2025","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,65.43$,"Reconciled"
"WealthSimple Cash","","22/05/2025","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,782.68$,"Reconciled"
"Principal","","21/05/2025","Paypal","Inflow: Ready to Assign","Inflow","Ready to Assign","",87.99$,0.00$,"Reconciled"
"WealthSimple Cash","","21/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",26.83$,0.00$,"Reconciled"
"WealthSimple Cash","","21/05/2025","Bitwarden","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",15.28$,0.00$,"Reconciled"
"WealthSimple Cash","","21/05/2025","Coflip","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",10.17$,0.00$,"Reconciled"
"WealthSimple Cash","","21/05/2025","Emby","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",7.26$,0.00$,"Reconciled"
"WealthSimple Cash","","20/05/2025","Transfer : Principal","","","","",90.00$,0.00$,"Reconciled"
"Principal","","20/05/2025","Desjardins Financial Security","Dépense Obligatoire: 🏦 Frais Assurance Desjardins","Dépense Obligatoire","🏦 Frais Assurance Desjardins","",9.95$,0.00$,"Reconciled"
"Principal","","20/05/2025","Insufficient Funds Fee","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",0.01$,0.00$,"Reconciled"
"Principal","","20/05/2025","Reimbursement of fees","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,0.01$,"Reconciled"
"WealthSimple Cash","","20/05/2025","Google One","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",0.00$,2.38$,"Reconciled"
"Principal","","20/05/2025","Transfer : WealthSimple Cash","","","","",0.00$,90.00$,"Reconciled"
"WealthSimple Cash","","19/05/2025","Affirm","Dépense Obligatoire: Tire","Dépense Obligatoire","Tire","",42.88$,0.00$,"Reconciled"
"WealthSimple Cash","","19/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",19.95$,0.00$,"Reconciled"
"WealthSimple Cash","","18/05/2025","SAAQ","Dépense Obligatoire: 🪪 SAAQ","Dépense Obligatoire","🪪 SAAQ","",160.97$,0.00$,"Reconciled"
"WealthSimple Cash","","18/05/2025","Paper Source","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",15.30$,0.00$,"Reconciled"
"WealthSimple Cash","","17/05/2025","Money transfer sent to /Papa /","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",42.60$,0.00$,"Reconciled"
"WealthSimple Cash","","16/05/2025","Jagex","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",13.99$,0.00$,"Reconciled"
"WealthSimple Cash","","15/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",19.95$,0.00$,"Reconciled"
"WealthSimple Cash","","15/05/2025","Adobe","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",14.94$,0.00$,"Reconciled"
"WealthSimple Cash","","15/05/2025","Jagex","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",4.49$,0.00$,"Reconciled"
"WealthSimple Cash","","15/05/2025","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,871.88$,"Reconciled"
"🚨 Fonds d'urgence","","14/05/2025","Transfer : WealthSimple CELI","Inflow: Ready to Assign","Inflow","Ready to Assign","",2000.00$,0.00$,"Cleared"
"WealthSimple CELI","","14/05/2025","QQC","","","","",988.68$,0.00$,"Cleared"
"WealthSimple CELI","","14/05/2025","Vfv","","","","",876.36$,0.00$,"Cleared"
"WealthSimple Cash","","14/05/2025","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",232.84$,0.00$,"Reconciled"
"WealthSimple CELI","","14/05/2025","XEQT","","","","",134.78$,0.00$,"Cleared"
"WealthSimple Cash","","14/05/2025","Transfer : Principal","","","","",80.00$,0.00$,"Reconciled"
"WealthSimple Cash","","14/05/2025","Manual Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","",65.43$,0.00$,"Reconciled"
"Principal","","14/05/2025","Manual Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","",55.35$,0.00$,"Reconciled"
"Principal","","14/05/2025","Insurance /INTACT COMPAGNIE D ASSURANCE","Dépense Obligatoire: 🚗 Assurance Auto","Dépense Obligatoire","🚗 Assurance Auto","",55.35$,0.00$,"Reconciled"
