Date,Montant,Type,Tiers,Compte,Enveloppe,Categorie,Note,Marqueur
01/01/2024,3000.00,revenu,Employeur,Compte Courant,Salaire,Revenus,Salaire janvier,
02/01/2024,-1200.00,depense,Propriétaire,Compte Courant,Loyer,Logement,Loyer janvier,
03/01/2024,-45.50,depense,Metro,Compte Courant,Épicerie,Alimentation,Courses hebdo,
04/01/2024,-120.00,depense,Hydro-Québec,Compte Courant,Électricité,Factures,Facture décembre,
05/01/2024,-80.00,depense,Station Esso,Compte Courant,Essence,Transport,Plein d'essence,
06/01/2024,-25.99,depense,Netflix,Carte de Crédit,Streaming,Divertissement,Abonnement mensuel,
07/01/2024,500.00,revenu,Client freelance,Compte Courant,Projet web,Revenus,Développement site,freelance
08/01/2024,-15.50,depense,Tim Hortons,Compte Courant,Café,Alimentation,Café du matin,
09/01/2024,-200.00,depense,Pharmacie Jean Coutu,Compte Courant,Médicaments,Santé,Prescription mensuelle,médical
10/01/2024,-89.99,depense,Amazon,Carte de Crédit,Livres,Éducation,Livres programmation,professionnel
11/01/2024,100.00,revenu,Assurance,Compte Courant,Remboursement,Revenus,Remboursement dentiste,médical
12/01/2024,-60.00,depense,Bell Canada,Compte Courant,Téléphone,Factures,Forfait mobile,
13/01/2024,-150.00,depense,Costco,Compte Courant,Achats gros,Alimentation,Provisions mensuel,
14/01/2024,-40.00,depense,Cinéma Guzzo,Compte Courant,Sorties,Divertissement,Film en famille,
15/01/2024,300.00,revenu,Kijiji,Compte Courant,Vente,Revenus,Vente meuble,
16/01/2024,-500.00,depense,Épargne,Épargne,Urgence,Épargne,Fonds d'urgence,
17/01/2024,-30.00,depense,Uber Eats,Carte de Crédit,Livraison,Alimentation,Souper paresseux,
18/01/2024,-75.00,depense,Garage Martin,Compte Courant,Entretien auto,Transport,Changement huile,
19/01/2024,-250.00,depense,Dentiste,Compte Courant,Soins dentaires,Santé,Nettoyage annuel,médical
20/01/2024,2500.00,revenu,Bonus,Compte Courant,Prime,Revenus,Prime performance, 
